,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,EastAsian,nut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EastAsian,sesame_oil,roasted_sesame_seed,soy_sauce,cayenne,chinese_cabbage,shrimp,garlic,ginger,scallion,,,,,,,,,,,,,,,,,,,,,,,
2,EastAsian,sesame_oil,mushroom,starch,shallot,corn,ginger,white_wine,bean,carrot,garlic,soybean,oyster,cilantro,onion,asparagus,chicken_broth,celery,fish,soy_sauce,root,shiitake,,,,,,,,,,,
3,EastAsian,garlic,fish,cayenne,soy_sauce,potato,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EastAsian,garlic,sesame_oil,roasted_sesame_seed,black_pepper,soy_sauce,cayenne,scallion,,,,,,,,,,,,,,,,,,,,,,,,,
5,EastAsian,cane_molasses,peanut,almond,raisin,walnut,cinnamon,vegetable_oil,sesame_seed,,,,,,,,,,,,,,,,,,,,,,,,
6,EastAsian,vinegar,mushroom,starch,vegetable,vegetable_oil,soy_sauce,egg,,,,,,,,,,,,,,,,,,,,,,,,,
7,EastAsian,chicken,garlic,sesame_seed,starch,nut,beef_broth,scallion,,,,,,,,,,,,,,,,,,,,,,,,,
8,EastAsian,nut,watermelon,ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EastAsian,sesame_oil,sake,black_pepper,soy_sauce,cayenne,honey,matsutake,nut,,,,,,,,,,,,,,,,,,,,,,,,
10,EastAsian,pork,green_bell_pepper,celery_oil,starch,corn,garlic,tomato,vinegar,onion,soy_sauce,cider,scallion,celery,pineapple,vegetable_oil,egg,,,,,,,,,,,,,,,,
11,EastAsian,sesame_oil,beef,roasted_sesame_seed,soy_sauce,pear,scallion,garlic,vegetable_oil,,,,,,,,,,,,,,,,,,,,,,,,
12,EastAsian,bean,wheat,starch,egg,nut,rice,raisin,,,,,,,,,,,,,,,,,,,,,,,,,
13,EastAsian,vegetable_oil,nut,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,EastAsian,vinegar,carrot,roasted_sesame_seed,radish,fish,black_pepper,parsley,scallion,japanese_plum,cucumber,seaweed,tuna,rice,egg,,,,,,,,,,,,,,,,,,
15,EastAsian,wheat,sesame_oil,roasted_sesame_seed,black_pepper,scallion,garlic,soybean,vegetable,vegetable_oil,tuna,egg,,,,,,,,,,,,,,,,,,,,,
16,EastAsian,butter,shallot,soy_sauce,black_pepper,beef_broth,rice,shiitake,wine,,,,,,,,,,,,,,,,,,,,,,,,
17,EastAsian,soy_sauce,clam,garlic,seaweed,sesame_oil,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,EastAsian,vinegar,soy_sauce,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
