,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,EastAsian,vinegar,mustard,beef,radish,pear,cucumber,buckwheat,egg,,,,,,,,,,,,,,,,,,,,,,,,
1,EastAsian,soybean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EastAsian,sesame_oil,vegetable,soy_sauce,rice,cayenne,scallion,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EastAsian,nut,watermelon,ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EastAsian,vinegar,sesame_oil,shiitake,kelp,vegetable_oil,rice,soy_sauce,brown_rice,,,,,,,,,,,,,,,,,,,,,,,,
5,EastAsian,vegetable_oil,nut,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EastAsian,beef_broth,onion,shiitake,cayenne,chicken,rice,egg,soy_sauce,,,,,,,,,,,,,,,,,,,,,,,,
7,EastAsian,vinegar,starch,sake,cayenne,soy_sauce,black_pepper,ginger,scallion,garlic,chicken,egg,,,,,,,,,,,,,,,,,,,,,
8,EastAsian,vegetable_oil,nut,black_pepper,kelp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EastAsian,lemon_juice,lemon,starch,shrimp,sesame_seed,vegetable,vegetable_oil,egg,,,,,,,,,,,,,,,,,,,,,,,,
10,EastAsian,butter,onion,soy_sauce,black_pepper,vegetable_oil,chicken,rice,egg,,,,,,,,,,,,,,,,,,,,,,,,
11,EastAsian,onion,roasted_sesame_seed,cayenne,squid,black_pepper,scallion,bean,bell_pepper,soybean,vegetable_oil,rice,,,,,,,,,,,,,,,,,,,,,
12,EastAsian,honey,pork,garlic,starch,sherry,soy_sauce,ginger,,,,,,,,,,,,,,,,,,,,,,,,,
13,EastAsian,sesame_oil,black_pepper,soy_sauce,cayenne,ginger,scallion,garlic,soybean,rice,,,,,,,,,,,,,,,,,,,,,,,
14,EastAsian,wheat,mushroom,fish,black_pepper,garlic,soybean,meat,onion,soy_sauce,cayenne,scallion,bone_oil,kelp,vegetable_oil,beef_broth,rice,pumpkin,,,,,,,,,,,,,,,
15,EastAsian,vinegar,melon,sake,plum,lime_juice,ginger,wine,,,,,,,,,,,,,,,,,,,,,,,,,
16,EastAsian,wheat,sesame_oil,roasted_sesame_seed,soy_sauce,cayenne,scallion,garlic,bell_pepper,,,,,,,,,,,,,,,,,,,,,,,,
17,EastAsian,vinegar,wheat,onion,beef,sake,radish,shiitake,enokidake,chinese_cabbage,scallion,carrot,kelp,soybean,vegetable,soy_sauce,,,,,,,,,,,,,,,,,
18,EastAsian,garlic,cayenne,sesame_oil,onion,scallion,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,EastAsian,black_bean,bean,seaweed,soybean,sesame_seed,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,EastAsian,vinegar,cilantro,sesame_oil,shallot,chicken_broth,orange_juice,ginger,soybean,rice,,,,,,,,,,,,,,,,,,,,,,,
21,EastAsian,vinegar,roasted_sesame_seed,radish,squid,cayenne,ginger,scallion,garlic,,,,,,,,,,,,,,,,,,,,,,,,
22,EastAsian,starch,fish,black_pepper,shrimp,matsutake,soy_sauce,beef_broth,scallion,egg,corn,,,,,,,,,,,,,,,,,,,,,,
23,EastAsian,sesame_oil,beef,roasted_sesame_seed,soy_sauce,scallion,garlic,seaweed,vegetable,,,,,,,,,,,,,,,,,,,,,,,,
24,EastAsian,starch,vegetable_oil,chicken_broth,broccoli,ginger,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
25,EastAsian,vinegar,sesame_oil,olive_oil,soy_sauce,wasabi,honey,sesame_seed,tuna,wine,,,,,,,,,,,,,,,,,,,,,,,
